code,date,price,depr,cashpr,eps,cfp,ret
000060.SZ,20101231,22.5,347650838.59,0.9671660426129478,0.45,-0.1066,0.1596472397550823
000060.SZ,20110630,13.3,206945253.77,0.32143728006927585,0.17,0.0652,0.05406722127027579
000060.SZ,20121231,9.05,387756374.27,1.1984070366884862,0.21,0.0206,0.19723889898216704
000060.SZ,20131231,6.28,353612973.25,-1.6635532208703776,0.2,0.031,-0.0572468741876555
000060.SZ,20140630,6.8,179961574.36,0.5679913908463202,0.08,-0.1354,0.1905909482764612
000060.SZ,20141231,9.49,443595181.82,0.24223849454024315,0.23,-0.1772,0.14488568915749955
000060.SZ,20150630,18.59,241952918.14,1.934936792722454,0.07,0.1179,-0.10750989853797067
000060.SZ,20151231,14.03,451306585.95,-1.4219284168605884,0.09,0.1582,0.13567195712363356
000060.SZ,20160630,10.43,273205323.51,9.954324121619665,0.02,0.0179,0.05924733485360583
000060.SZ,20170630,11.2,245099287.11,1.6146126542129893,0.25,0.7971,0.12641392485565872
000063.SZ,19981231,30.81,16287942.26,0.4182002907297325,0.97,-0.0427,-0.03570669411811412
000063.SZ,20011231,23.46,93904572.6,-2.6385274860290484,1.0490000000000002,1.5478,-0.024838153326440727
000063.SZ,20021231,12.85,201025931.58,0.901934581016792,1.02,2.1678,-0.16663496062625502
000063.SZ,20031231,18.7,262840170.45,0.40768060477914586,1.128,1.2677,0.08245202486095617
000063.SZ,20040630,20.34,259147864.0,1.2964415235155358,0.6409999999999999,0.1473,-0.039523216369684776
000063.SZ,20041231,26.69,307691000.0,-2.7153621759358684,1.35,3.9741,-0.03533676455191091
000063.SZ,20050630,23.04,169801000.0,1.0185994873493358,0.72,-3.9612,-0.04705254427089123
000063.SZ,20060630,28.61,216937000.0,-5.678333559708247,0.39,-2.7018,0.10028583742931908
000063.SZ,20080630,62.6,255220000.0,-4.300171069880913,0.41,1.3227,-0.10211243484834612
000063.SZ,20081231,27.2,584689000.0,-1.008872765646374,1.24,3.7477,0.2445099005865722
000063.SZ,20090630,28.1,351150000.0,-1.0629490991121613,0.45,0.4196,-0.2343263417842693
000063.SZ,20091231,44.87,762838000.0,0.10718841757680213,1.4,1.4916,0.13279938641752345
000063.SZ,20100630,19.24,409647000.0,-0.4758206114475359,0.32,-0.6245,-0.5997841682430387
000063.SZ,20101231,27.3,859538000.0,-0.24001799655381506,1.17,0.2893,0.02710394241919191
000063.SZ,20110630,28.28,486609000.0,2.7963035045993805,0.27,-0.0131,0.0844429923749732
000063.SZ,20121231,9.75,1032556000.0,-3.9134777394495774,-0.83,0.5807,0.22957444164450017
000063.SZ,20131231,13.07,944342000.0,-1.815675324084356,0.39,-0.7393,-0.22084558017658604
000063.SZ,20131231,13.07,944342000.0,-2.7323292133312083,0.39,-0.7393,-0.22084558017658604
000063.SZ,20140630,13.12,644289000.0,-0.5770314274687082,0.33,-1.1831,-0.0022839751078306166
000063.SZ,20141231,18.06,954913000.0,0.9125865534421296,0.77,-0.8402,0.14131353306657748
000063.SZ,20141231,18.06,954913000.0,-1.5669739768574236,0.77,-0.8402,0.14131353306657748
000063.SZ,20150630,23.81,468554000.0,-0.6813644212595228,0.47,0.0254,-0.26000306465780404
000063.SZ,20150630,23.81,468554000.0,-3.482903833874072,0.47,0.0254,-0.26000306465780404
000063.SZ,20151231,18.63,1089681000.0,-1.9582666973781842,0.78,2.2615,0.06371581438610757
000063.SZ,20151231,18.63,1089681000.0,-0.01599700679475011,0.78,2.2615,0.06371581438610757
000063.SZ,20160630,14.34,665310000.0,0.6283849048279666,0.43,0.3164,0.039834569585961925
000063.SZ,20170630,23.74,523235000.0,0.4082713334128914,0.55,-0.9885,0.19520964429293433
000063.SZ,20170630,23.74,523235000.0,-0.3328519734714236,0.55,-0.9885,0.19520964429293433
000069.SZ,19981231,9.3,11100073.19,-0.3444618230005549,0.213,-0.3688,-0.19920334376820137
000069.SZ,20011231,12.93,26918958.73,1.8183650287923625,0.40299999999999997,0.0669,-0.07161896398248636
000069.SZ,20021231,13.32,75431311.88,1.5549685353674951,0.604,-0.285,0.025856953836299094
000069.SZ,20030630,8.59,46807276.33,1.6316185123877895,0.201,-0.0191,-0.01387305486824749
000069.SZ,20031231,6.16,94892287.36,0.08666206390654736,0.22,0.109,-0.001622060371868055
000069.SZ,20040630,5.93,44059374.52,-1.0880948350367612,0.221,-0.1325,-0.062111463543487656
000069.SZ,20041231,6.8,97031706.28,-1.3372489539649974,0.321,-0.0858,-0.0445796316330886
000069.SZ,20050630,9.08,47426346.92,-0.2094717654636364,0.21899999999999997,0.3178,0.13290226394696136
000069.SZ,20060630,11.51,49230426.62,-3.854405783773808,0.19,-0.0529,-0.23024253359879973
000069.SZ,20080630,10.11,142761355.32,0.6099483238573025,0.166,-0.1222,-0.2899051189397274
000069.SZ,20081231,8.18,364163933.24,-0.04751820737319101,0.35,-0.3003,-0.13901753866130254
000069.SZ,20090630,20.9,167388701.12,1.3071330940588644,0.17300000000000001,0.073,0.2485840511580486
000069.SZ,20091231,17.17,837425096.65,-1.2125750862366325,0.551,0.3578,-0.20231069053942075
000069.SZ,20100630,11.0,513455842.25,-3.333366740828392,0.435,0.4913,-0.11170398958000129
000069.SZ,20101231,12.15,1313215523.05,-2.956129204800455,0.978,0.7975,0.0471865124348971
000069.SZ,20110630,7.91,562636611.95,-5.360081315854507,0.195,-0.0932,0.07206784903877761
000069.SZ,20121231,7.5,1287951502.71,1.6173788209039963,0.5294,0.4091,0.27093421515055827
000069.SZ,20131231,5.3,1358536841.07,1.1917299815298747,0.6062,0.0352,-0.027908788117076616
000069.SZ,20140630,4.69,989959780.79,-3.231990486627076,0.2631,0.0713,-0.010604553248797112
000069.SZ,20141231,8.25,1428663062.46,-0.6005273009147464,0.6566,0.6437,0.25547893195714616
000069.SZ,20150630,12.98,744346537.51,-2.5764393848645994,0.1945,-0.18600000000000003,0.10040789687599362
000069.SZ,20151231,8.8,1548227987.1,-1.602343888726799,0.637,0.12,0.0755075525081453
000069.SZ,20160630,6.4,774023642.51,2.7405225652488454,0.1925,-0.0333,-0.03379737958329061
000069.SZ,20170630,10.06,710550252.97,-4.466756482395258,0.2113,0.2307,0.13154529465289322
000100.SZ,20040630,6.89,199835716.0,-2.6916221698108305,0.14,0.1382,-0.011544139746865311
000100.SZ,20041231,3.61,478032117.0,-37.22822103685767,0.1222,1.5599,-0.170245237248916
000100.SZ,20050630,2.14,326957384.0,-0.4763910081845433,-0.2678,-0.5481,-0.041195756438267166
000100.SZ,20060630,2.46,384435000.0,0.3830849995760932,-0.2852,-0.6151,0.004073325387635648
000100.SZ,20080630,4.08,215973000.0,2.69070799515548,0.1625,0.0224,-0.26537631493748276
000100.SZ,20081231,2.62,463285000.0,3.0152089415389014,0.1938,0.0117,0.05491575759611463
000100.SZ,20090630,3.83,236471000.0,-12.824431254930534,0.0366,0.3639,0.023779191766113934
000100.SZ,20091231,5.13,369008000.0,-5.911388332352728,0.1667,0.7889,0.056126954233286355
000100.SZ,20100630,3.75,229644000.0,-7.60759161663289,0.0537,0.731,-0.07942713363132178
000100.SZ,20101231,3.43,625607000.0,-22.39802129725722,0.1243,2.4189,-0.034387342309475835
000100.SZ,20110630,2.99,337783000.0,-5.397239370547654,0.0635,-0.4845,0.09832475251098567
000100.SZ,20121231,2.19,2061297000.0,1.9982267459561092,0.0939,-0.2926,0.03721359634043427
000100.SZ,20131231,2.33,3115464000.0,-0.6465196272790932,0.2484,-0.0615,-0.01279335145990947
000100.SZ,20140630,2.28,1651558000.0,-1.355632508648886,0.1667,-0.0726,-0.03023988518971835
000100.SZ,20141231,3.8,3289134000.0,0.9442055393388944,0.348,0.1212,0.15327387135372375
000100.SZ,20150630,5.65,1717711000.0,-2.859549084946526,0.1436,0.3158,-0.1246424452072766
000100.SZ,20151231,4.26,3658573000.0,-0.2769288741287408,0.2141,0.1815,0.09601465323958858
000100.SZ,20160630,3.29,2197257000.0,-12.880784985452046,0.0496,0.1597,-0.032887866844835176
000157.SZ,20011231,14.45,5566829.36,0.2879049940050744,0.3508,-0.2098,-0.11862850667250531
000157.SZ,20021231,8.98,13135679.9,0.16732401308822525,0.3941,-0.2666,-0.012175025875279192
000157.SZ,20031231,12.5,16678424.5,1.6246277537657592,0.5917,-0.0281,0.11428914640212759
000157.SZ,20040630,9.36,18674366.39,0.2281772532128052,0.5,-0.2038,-0.08102841499829573
000157.SZ,20041231,7.27,37612412.82,0.2733367698025724,0.7551,0.1764,-0.133703317321929
000157.SZ,20050630,6.16,23801131.33,1.3696760954608556,0.3285,-0.0727,0.09174511363982872
000157.SZ,20080630,13.85,68882171.71,-1.1292988562177058,0.5932,0.8462,-1.113660942417281
000157.SZ,20081231,11.18,108608144.46,1.1409937183686696,1.0318,1.5230000000000001,-0.19961305390401568
000157.SZ,20090630,22.33,122256715.66,0.9421515825130627,0.7132,0.0412,0.11672000928834084
000157.SZ,20091231,26.01,247108375.1,0.7785679805714391,1.4180000000000001,0.0587,-0.004220224947670074
000157.SZ,20100630,16.25,172650266.37,-2.655584014291072,1.1767,1.8276,-0.1116789736323334
000157.SZ,20101231,14.14,326177931.2,-2.8900499095994125,0.97,2.6425,-0.021686754090014353
000157.SZ,20110630,15.38,177870979.86,0.5480380225908189,0.6028,0.2041,0.0728084268116363
000157.SZ,20121231,9.21,405709181.33,-0.4369837021567973,0.95,0.5297,0.14711792160097512
000157.SZ,20131231,5.45,459303827.67,-0.10618679340067187,0.5,-0.4447,-0.050099922051495584
000157.SZ,20140630,4.43,249081018.36,-6.892843682420331,0.12,-0.0974,-0.022322355437898497
000157.SZ,20141231,7.06,511474548.63,-18.2380194032778,0.08,-0.2821,0.3135084720116793
000157.SZ,20150630,8.11,299723344.2,-13.813962262890575,-0.04,-0.0534,-0.09631852676108621
000157.SZ,20151231,5.35,625653136.27,64.33841134362682,0.01,-0.391,0.04785602117763514
000157.SZ,20160630,4.13,363030501.76,-5.490346852788365,-0.11,-0.3304,-0.0072376673002306135
000157.SZ,20170630,4.49,379941958.53,-1.5108638663605074,0.15,0.5256,0.022523474667083137
000157.SZ,20170630,4.49,379941958.53,2.8302698140135343,0.15,0.5256,0.022523474667083137
000166.SZ,20170630,5.6,92150131.59,4.669028490420388,0.1,-0.2103,-0.017699577099400975
000333.SZ,20131231,50.0,2301876550.0,0.0818249025394037,4.33,2.5024,0.04269875453311534
000333.SZ,20140630,19.32,1176192050.0,-0.3478116534626867,1.57,-1.0756,0.1035218573600152
000333.SZ,20141231,27.44,2359445270.0,0.6479842033713137,2.49,-2.7258,0.21597180798832966
000333.SZ,20150630,37.28,1122983880.0,0.38754457054244174,1.97,0.0548,0.007539077173165914
000338.SZ,20080630,40.3,377089178.52,-0.08414425481636834,3.19,2.5336,-0.3931480416062639
000338.SZ,20081231,17.98,750442763.28,0.16667392356736632,2.32,0.7689,-0.40063328306000673
000338.SZ,20090630,36.43,388472860.38,-0.00498770333746114,1.47,0.2485,0.05298506080679355
000338.SZ,20091231,64.48,838427726.56,-0.1452296209354,4.09,0.6155,0.07317788372827895
000338.SZ,20100630,61.5,569445623.45,0.24597342156224475,3.88,1.2125,0.06326020573962998
000338.SZ,20101231,52.37,1163965619.62,0.3336764848012071,4.07,3.1412,-0.9168634149097553
000338.SZ,20110630,45.43,614345985.22,1.140964938101967,2.1,-0.768,-0.03567560262076401
000338.SZ,20121231,25.31,1435905068.73,0.18795047437175352,1.5,0.391,0.13698035428838753
000338.SZ,20131231,19.0,1814365762.76,0.2537911652578892,1.79,1.2493,-0.07890846142052385
000338.SZ,20140630,17.79,961853206.94,-0.09415818294261367,1.88,0.2465,0.021017530253386908
000338.SZ,20141231,27.29,3020591165.05,1.4058567609199748,2.51,1.9495,0.22369335431532228
000338.SZ,20141231,27.29,3020591165.05,1.5340865002865978,2.51,1.9495,0.22369335431532228
000338.SZ,20150630,31.66,1997898400.07,-1.8704845522559157,0.24,-0.3694,0.027539364473337286
000338.SZ,20150630,31.66,1997898400.07,1.4724716114514576,0.24,-0.3694,0.027539364473337286
000338.SZ,20151231,9.66,4164212566.79,0.8354698067325594,0.35,0.13,0.02941388520629319
000338.SZ,20151231,9.66,4164212566.79,0.7480113973481977,0.35,0.13,0.02941388520629319
000338.SZ,20160630,7.81,2214818781.35,-0.33040968709180285,0.26,0.2768,-0.016508311407449825
000338.SZ,20160630,7.81,2214818781.35,0.6979833815857537,0.26,0.2768,-0.016508311407449825
000338.SZ,20170630,13.2,2433961164.95,2.039695963893093,0.33,0.4452,0.16788087263916016
000402.SZ,19981231,7.88,12414286.43,7.112963470344227,0.06,-0.3217,-0.037364246744867935
000402.SZ,20011231,19.43,561763.89,-2.0082051920084925,1.2,-0.4137,-0.018863674311140898
